Epoch  AP@[IoU=0.50:0.95]  AP@[IoU=0.5]  AP@[IoU=0.75]  AP@[area=small]  AP@[area=middle]  AP@[area=large]  AR@[1 per image]  AR@[10 per image]  AR@[100 per image]  AR@[area=small]  AR@[area=middle]  AR@[area=large]  mloss  lr
epoch:   0 0.0003  0.0012  0.0000  0.0000  0.0001  0.0004  0.0010  0.0043  0.0052  0.0000  0.0001  0.0079  0.0740  0.010000
epoch:   1 0.0006  0.0022  0.0002  0.0001  0.0002  0.0013  0.0024  0.0037  0.0038  0.0000  0.0018  0.0051  0.0654  0.009987
epoch:   2 0.0009  0.0030  0.0002  0.0000  0.0005  0.0018  0.0033  0.0054  0.0056  0.0001  0.0039  0.0071  0.0632  0.009971
epoch:   3 0.0024  0.0078  0.0007  0.0000  0.0009  0.0039  0.0047  0.0105  0.0108  0.0001  0.0050  0.0147  0.0617  0.009948
epoch:   4 0.0022  0.0066  0.0008  0.0001  0.0014  0.0036  0.0044  0.0103  0.0109  0.0004  0.0088  0.0134  0.0597  0.009918
epoch:   5 0.0044  0.0132  0.0015  0.0001  0.0023  0.0060  0.0059  0.0148  0.0160  0.0008  0.0100  0.0206  0.0596  0.009883
epoch:   6 0.0052  0.0146  0.0021  0.0001  0.0024  0.0070  0.0070  0.0139  0.0142  0.0005  0.0086  0.0184  0.0584  0.009841
epoch:   7 0.0057  0.0148  0.0030  0.0002  0.0029  0.0080  0.0072  0.0152  0.0157  0.0011  0.0111  0.0197  0.0576  0.009792
epoch:   8 0.0067  0.0165  0.0041  0.0004  0.0027  0.0091  0.0095  0.0171  0.0176  0.0011  0.0098  0.0221  0.0583  0.009738
epoch:   9 0.0056  0.0152  0.0029  0.0001  0.0031  0.0077  0.0074  0.0153  0.0157  0.0006  0.0101  0.0201  0.0576  0.009677
epoch:  10 0.0075  0.0191  0.0043  0.0002  0.0035  0.0105  0.0089  0.0171  0.0176  0.0009  0.0109  0.0224  0.0566  0.009610
epoch:  11 0.0077  0.0185  0.0052  0.0004  0.0043  0.0111  0.0106  0.0190  0.0196  0.0017  0.0133  0.0240  0.0570  0.009538
epoch:  12 0.0106  0.0268  0.0059  0.0003  0.0042  0.0143  0.0164  0.0255  0.0262  0.0025  0.0127  0.0328  0.0556  0.009459
epoch:  13 0.0098  0.0238  0.0062  0.0005  0.0034  0.0131  0.0157  0.0236  0.0239  0.0017  0.0094  0.0303  0.0557  0.009375
epoch:  14 0.0097  0.0238  0.0063  0.0004  0.0049  0.0134  0.0125  0.0219  0.0226  0.0019  0.0145  0.0279  0.0561  0.009285
epoch:  15 0.0111  0.0267  0.0072  0.0005  0.0051  0.0151  0.0175  0.0272  0.0277  0.0036  0.0151  0.0343  0.0556  0.009190
epoch:  16 0.0114  0.0301  0.0066  0.0007  0.0055  0.0160  0.0177  0.0279  0.0287  0.0027  0.0150  0.0371  0.0549  0.009089
